English,עברית
part,חֵלֶק
history,הִיסטוֹרִיָה
search,לחפש
only,רק
police,מִשׁטָרָה
thought,מַחֲשָׁבָה
help,עֶזרָה
request,בַּקָשָׁה
kind,סוג
month,חוֹדֶשׁ
brother,אָח
let,תן
because,כי
to put,לשים
no,לא
leash,רצועה
them,אוֹתָם
city,עִיר
each,כל אחד
speak,לְדַבֵּר
come,לבוא
should,צריך
baby,תִינוֹק
long time,הרבה זמן
hours,שעה (ות
will,רָצוֹן
while,בזמן
meet again,נפגש שוב
any,כל
square,כיכר
speak,לְדַבֵּר
understood,מובן
knew,ידע
were,היו
Warning,אַזהָרָה
here is,הנה
could,הָיָה יָכוֹל
case,מקרה
give,לָתֵת
type,סוּג
their,שֶׁלָהֶם
given,נָתוּן
train,רכבת
body,גוּף
place,מקום
eyes,עיניים
way,דֶרֶך
listen,להקשיב
whose,של מי
find,למצוא
first,ראשון
lost,אָבֵד
hand,יד
first,ראשון
side,צַד
power,כּוֹחַ
old,ישן
be,לִהיוֹת
here,כאן
morning,בוקר
so much,כל כך
child,יֶלֶד
point,נְקוּדָה
came,בא
after,לאחר
sorry,מצטער
come,לבוא
in front of,לפני
towards,לִקרַאת
minutes,דקות
request,בַּקָשָׁה
bedroom,חדר שינה
placed,מוּצָב
beautiful,יפה
law,חוֹק
would like to,רוצה
today,היום
husband,בַּעַל
cause,גורם
finally,סוף כל סוף
hope,לְקַווֹת
water,מים
Wait,לַחֲכוֹת
left,שמאלה
new,חָדָשׁ
job,עבודה
Stop,תפסיק
would say,הייתי אומר
Earth,כדור הארץ
account,חֶשְׁבּוֹן
given,נָתוּן
far,רָחוֹק
end,סוֹף
believe,לְהֶאֱמִין
sweetheart,אהובה
large,גָדוֹל
rather,אלא
will have,יהיה
girls,בנות
to play,לשחק
office,מִשׂרָד